08-11-2026 23:05:27 RAM 4580/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [3%@729,16%@729,3%@729,9%@729,8%@729,0%@729] GR3D_FREQ 99% cpu@57.312C soc2@56.25C soc0@57.156C gpu@57.812C tj@57.812C soc1@56.625C VDD_IN 14120mW/13181mW VDD_CPU_GPU_CV 5904mW/5362mW VDD_SOC 3593mW/3354mW
08-11-2026 23:05:28 RAM 4582/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [3%@729,2%@729,2%@729,1%@729,10%@729,0%@729] GR3D_FREQ 99% cpu@57.218C soc2@56.343C soc0@57.281C gpu@58.312C tj@58.312C soc1@56.437C VDD_IN 14040mW/13204mW VDD_CPU_GPU_CV 5785mW/5373mW VDD_SOC 3672mW/3363mW
08-11-2026 23:05:29 RAM 4584/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,1%@729,5%@729,1%@729,8%@729,0%@729] GR3D_FREQ 99% cpu@57.25C soc2@56.312C soc0@57.281C gpu@58.406C tj@58.406C soc1@56.5C VDD_IN 14373mW/13235mW VDD_CPU_GPU_CV 6022mW/5390mW VDD_SOC 3711mW/3372mW
08-11-2026 23:05:30 RAM 4586/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [3%@729,1%@729,0%@729,0%@729,8%@729,0%@729] GR3D_FREQ 96% cpu@57.375C soc2@56.343C soc0@57.218C gpu@58.593C tj@58.593C soc1@56.562C VDD_IN 14571mW/13269mW VDD_CPU_GPU_CV 6140mW/5409mW VDD_SOC 3751mW/3382mW
08-11-2026 23:05:31 RAM 4588/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [3%@729,1%@729,1%@729,1%@729,8%@729,0%@729] GR3D_FREQ 99% cpu@57.5C soc2@56.281C soc0@57.281C gpu@58.093C tj@58.093C soc1@56.625C VDD_IN 14080mW/13290mW VDD_CPU_GPU_CV 5864mW/5421mW VDD_SOC 3593mW/3387mW
08-11-2026 23:05:32 RAM 4591/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [3%@729,5%@729,6%@729,3%@729,10%@729,0%@729] GR3D_FREQ 99% cpu@57.781C soc2@56.468C soc0@57.281C gpu@58.093C tj@58.093C soc1@56.656C VDD_IN 14278mW/13314mW VDD_CPU_GPU_CV 5943mW/5434mW VDD_SOC 3672mW/3394mW
08-11-2026 23:05:33 RAM 4592/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [6%@729,5%@729,5%@729,4%@729,0%@729,8%@729] GR3D_FREQ 99% cpu@57.343C soc2@56.375C soc0@57.406C gpu@58.312C tj@58.312C soc1@56.5C VDD_IN 14334mW/13338mW VDD_CPU_GPU_CV 6022mW/5448mW VDD_SOC 3711mW/3401mW
08-11-2026 23:05:34 RAM 4593/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [3%@729,1%@729,0%@729,1%@729,0%@729,8%@729] GR3D_FREQ 97% cpu@57.281C soc2@56.406C soc0@57.437C gpu@58.375C tj@58.375C soc1@56.531C VDD_IN 14610mW/13368mW VDD_CPU_GPU_CV 6140mW/5464mW VDD_SOC 3745mW/3409mW
08-11-2026 23:05:35 RAM 4816/7607MB (lfb 83x4MB) SWAP 1428/16384MB (cached 137MB) CPU [33%@1344,33%@1344,29%@1344,30%@1344,51%@1344,37%@1344] GR3D_FREQ 0% cpu@57.468C soc2@55.875C soc0@57.062C gpu@56.312C tj@57.468C soc1@56.437C VDD_IN 7854mW/13242mW VDD_CPU_GPU_CV 2388mW/5394mW VDD_SOC 1913mW/3375mW
08-11-2026 23:05:36 RAM 5095/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [51%@729,51%@729,50%@729,48%@729,47%@729,50%@729] GR3D_FREQ 99% cpu@57.375C soc2@55.875C soc0@56.843C gpu@57.562C tj@57.562C soc1@56.5C VDD_IN 11229mW/13198mW VDD_CPU_GPU_CV 4469mW/5373mW VDD_SOC 2499mW/3356mW
08-11-2026 23:05:37 RAM 5095/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [3%@729,9%@729,2%@729,2%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@56.781C soc2@56.062C soc0@57.093C gpu@58.125C tj@58.125C soc1@56.468C VDD_IN 13803mW/13211mW VDD_CPU_GPU_CV 5874mW/5384mW VDD_SOC 3316mW/3355mW
08-11-2026 23:05:38 RAM 5102/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [10%@729,10%@729,6%@729,18%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@56.968C soc2@56.187C soc0@57.281C gpu@57.781C tj@57.781C soc1@56.343C VDD_IN 13961mW/13227mW VDD_CPU_GPU_CV 5834mW/5394mW VDD_SOC 3553mW/3359mW
08-11-2026 23:05:39 RAM 5102/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [3%@729,8%@729,3%@729,0%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@57.125C soc2@56.25C soc0@57.093C gpu@58.406C tj@58.406C soc1@56.5C VDD_IN 14238mW/13248mW VDD_CPU_GPU_CV 5904mW/5404mW VDD_SOC 3672mW/3366mW
08-11-2026 23:05:40 RAM 5102/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,10%@729,2%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@57.281C soc2@56.375C soc0@57.156C gpu@58.5C tj@58.5C soc1@56.562C VDD_IN 14452mW/13272mW VDD_CPU_GPU_CV 6061mW/5418mW VDD_SOC 3711mW/3373mW
08-11-2026 23:05:41 RAM 5102/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,9%@729,3%@729,2%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@57.5C soc2@56.281C soc0@57.281C gpu@58.687C tj@58.687C soc1@56.531C VDD_IN 14531mW/13298mW VDD_CPU_GPU_CV 6140mW/5432mW VDD_SOC 3711mW/3380mW
08-11-2026 23:05:42 RAM 5102/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,10%@729,1%@729,2%@729,1%@729,1%@729] GR3D_FREQ 98% cpu@57.156C soc2@56.312C soc0@57.25C gpu@57.968C tj@57.968C soc1@56.5C VDD_IN 14040mW/13312mW VDD_CPU_GPU_CV 5864mW/5441mW VDD_SOC 3593mW/3384mW
08-11-2026 23:05:43 RAM 5103/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [4%@806,12%@883,13%@883,3%@883,1%@729,0%@729] GR3D_FREQ 98% cpu@57.562C soc2@56.406C soc0@57.375C gpu@58.187C tj@58.187C soc1@56.531C VDD_IN 14294mW/13331mW VDD_CPU_GPU_CV 5982mW/5451mW VDD_SOC 3672mW/3389mW
08-11-2026 23:05:44 RAM 5102/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [6%@729,6%@729,1%@729,8%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@57.718C soc2@56.531C soc0@57.343C gpu@58.437C tj@58.437C soc1@56.562C VDD_IN 14689mW/13357mW VDD_CPU_GPU_CV 6179mW/5465mW VDD_SOC 3745mW/3396mW
08-11-2026 23:05:45 RAM 5102/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [0%@729,4%@729,1%@729,9%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@57.312C soc2@56.468C soc0@57.343C gpu@58.781C tj@58.781C soc1@56.656C VDD_IN 14492mW/13378mW VDD_CPU_GPU_CV 6140mW/5477mW VDD_SOC 3711mW/3402mW
08-11-2026 23:05:46 RAM 5102/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [3%@729,1%@729,2%@729,9%@729,1%@729,0%@729] GR3D_FREQ 98% cpu@57.25C soc2@56.406C soc0@57.375C gpu@58.187C tj@58.187C soc1@56.531C VDD_IN 13922mW/13387mW VDD_CPU_GPU_CV 5795mW/5483mW VDD_SOC 3593mW/3405mW
08-11-2026 23:05:47 RAM 5103/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [1%@729,2%@729,1%@729,9%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@57.406C soc2@56.468C soc0@57.281C gpu@58.75C tj@58.75C soc1@56.625C VDD_IN 14278mW/13403mW VDD_CPU_GPU_CV 5943mW/5491mW VDD_SOC 3672mW/3410mW
08-11-2026 23:05:48 RAM 5103/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,3%@729,1%@729,8%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@57.5C soc2@56.562C soc0@57.468C gpu@58.562C tj@58.562C soc1@56.687C VDD_IN 14452mW/13422mW VDD_CPU_GPU_CV 6061mW/5501mW VDD_SOC 3711mW/3415mW
08-11-2026 23:05:49 RAM 5103/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [6%@729,17%@729,9%@729,9%@729,0%@729,0%@729] GR3D_FREQ 98% cpu@57.75C soc2@56.531C soc0@57.406C gpu@58.75C tj@58.75C soc1@56.687C VDD_IN 14571mW/13442mW VDD_CPU_GPU_CV 6218mW/5514mW VDD_SOC 3711mW/3420mW
08-11-2026 23:05:50 RAM 5103/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [1%@729,1%@729,1%@729,9%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@57.25C soc2@56.593C soc0@57.468C gpu@58.187C tj@58.187C soc1@56.812C VDD_IN 14080mW/13452mW VDD_CPU_GPU_CV 5864mW/5520mW VDD_SOC 3632mW/3424mW
08-11-2026 23:05:51 RAM 5103/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,3%@729,10%@729,2%@729,0%@729,0%@729] GR3D_FREQ 97% cpu@57.562C soc2@56.781C soc0@57.656C gpu@58.531C tj@58.531C soc1@56.656C VDD_IN 14278mW/13466mW VDD_CPU_GPU_CV 5943mW/5527mW VDD_SOC 3711mW/3429mW
08-11-2026 23:05:52 RAM 5103/7607MB (lfb 81x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,8%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@57.718C soc2@56.687C soc0@57.656C gpu@58.718C tj@58.718C soc1@56.718C VDD_IN 14531mW/13484mW VDD_CPU_GPU_CV 6140mW/5537mW VDD_SOC 3751mW/3434mW
