08-11-2026 15:25:09 RAM 6742/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [2%@729,0%@729,1%@729,15%@729,0%@729,3%@729] GR3D_FREQ 99% cpu@61C soc2@60C soc0@60.718C gpu@62.031C tj@62.031C soc1@59.968C VDD_IN 16255mW/14478mW VDD_CPU_GPU_CV 6971mW/5962mW VDD_SOC 4126mW/3693mW
08-11-2026 15:25:10 RAM 6742/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [4%@729,1%@729,2%@729,12%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@60.687C soc2@60.093C soc0@60.812C gpu@62.218C tj@62.218C soc1@59.906C VDD_IN 15848mW/14509mW VDD_CPU_GPU_CV 6669mW/5978mW VDD_SOC 4093mW/3702mW
08-11-2026 15:25:11 RAM 6749/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [16%@729,18%@729,5%@729,11%@729,0%@729,2%@729] GR3D_FREQ 99% cpu@60.937C soc2@60.125C soc0@60.906C gpu@62.375C tj@62.375C soc1@59.937C VDD_IN 15809mW/14538mW VDD_CPU_GPU_CV 6669mW/5994mW VDD_SOC 4093mW/3710mW
08-11-2026 15:25:12 RAM 6749/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [11%@729,3%@729,1%@729,6%@729,0%@729,2%@729] GR3D_FREQ 99% cpu@60.968C soc2@59.968C soc0@60.75C gpu@62.312C tj@62.312C soc1@59.937C VDD_IN 15651mW/14562mW VDD_CPU_GPU_CV 6590mW/6007mW VDD_SOC 4054mW/3718mW
08-11-2026 15:25:13 RAM 6749/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [3%@729,1%@729,2%@729,14%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@61.125C soc2@60.093C soc0@60.843C gpu@61.968C tj@61.968C soc1@60.062C VDD_IN 15651mW/14585mW VDD_CPU_GPU_CV 6630mW/6020mW VDD_SOC 4014mW/3724mW
08-11-2026 15:25:14 RAM 6749/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [1%@729,2%@729,2%@729,15%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@60.875C soc2@60.093C soc0@60.875C gpu@61.906C tj@61.906C soc1@59.968C VDD_IN 15611mW/14606mW VDD_CPU_GPU_CV 6551mW/6031mW VDD_SOC 4014mW/3730mW
08-11-2026 15:25:15 RAM 6749/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [10%@729,2%@729,1%@729,5%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@61.031C soc2@60.031C soc0@61.125C gpu@62.187C tj@62.187C soc1@59.968C VDD_IN 15848mW/14632mW VDD_CPU_GPU_CV 6669mW/6044mW VDD_SOC 4093mW/3738mW
08-11-2026 15:25:16 RAM 6751/7607MB (lfb 2x2MB) SWAP 158/16384MB (cached 87MB) CPU [30%@729,5%@729,6%@729,3%@729,2%@729,6%@729] GR3D_FREQ 99% cpu@61.218C soc2@60.125C soc0@60.812C gpu@62.437C tj@62.437C soc1@60.062C VDD_IN 16019mW/14659mW VDD_CPU_GPU_CV 6826mW/6060mW VDD_SOC 4126mW/3745mW
08-11-2026 15:25:17 RAM 6751/7607MB (lfb 2x2MB) SWAP 158/16384MB (cached 87MB) CPU [16%@729,1%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@61.156C soc2@60.187C soc0@60.937C gpu@61.906C tj@61.906C soc1@60.156C VDD_IN 15822mW/14682mW VDD_CPU_GPU_CV 6669mW/6072mW VDD_SOC 4093mW/3752mW
08-11-2026 15:25:18 RAM 6751/7607MB (lfb 2x2MB) SWAP 158/16384MB (cached 87MB) CPU [8%@729,9%@729,1%@729,1%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@61.25C soc2@60.062C soc0@61C gpu@62.093C tj@62.093C soc1@60.187C VDD_IN 15848mW/14705mW VDD_CPU_GPU_CV 6669mW/6083mW VDD_SOC 4054mW/3758mW
08-11-2026 15:25:19 RAM 6751/7607MB (lfb 2x2MB) SWAP 158/16384MB (cached 87MB) CPU [2%@729,15%@729,1%@729,3%@729,0%@729,3%@729] GR3D_FREQ 99% cpu@60.937C soc2@60.218C soc0@61C gpu@62.187C tj@62.187C soc1@60.093C VDD_IN 15611mW/14722mW VDD_CPU_GPU_CV 6551mW/6092mW VDD_SOC 4054mW/3764mW
08-11-2026 15:25:20 RAM 6751/7607MB (lfb 2x2MB) SWAP 158/16384MB (cached 87MB) CPU [6%@729,9%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@61.125C soc2@60.218C soc0@60.937C gpu@62.25C tj@62.25C soc1@60.125C VDD_IN 15730mW/14740mW VDD_CPU_GPU_CV 6669mW/6103mW VDD_SOC 4054mW/3769mW
08-11-2026 15:25:21 RAM 6752/7607MB (lfb 1x2MB) SWAP 158/16384MB (cached 87MB) CPU [14%@729,9%@729,4%@729,16%@729,2%@729,3%@729] GR3D_FREQ 99% cpu@61.312C soc2@60.281C soc0@61C gpu@62.375C tj@62.375C soc1@60.187C VDD_IN 16019mW/14764mW VDD_CPU_GPU_CV 6826mW/6116mW VDD_SOC 4093mW/3775mW
08-11-2026 15:25:22 RAM 6752/7607MB (lfb 1x2MB) SWAP 158/16384MB (cached 87MB) CPU [4%@729,13%@729,0%@729,2%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@61.093C soc2@60.25C soc0@61.031C gpu@62.343C tj@62.343C soc1@60.218C VDD_IN 16137mW/14788mW VDD_CPU_GPU_CV 6815mW/6128mW VDD_SOC 4165mW/3782mW
