read_id	mean_q	model
5b99626d-fe16-4cee-b8e7-ff965443b61a	23.040	fast
10fddc64-2569-44af-82ce-4e8213e7029b	7.181	hac
cd725a44-ebdf-47f6-90ae-aa127ac0e9aa	22.922	fast
857c8e21-50c3-4662-92e4-f3ec4ed0c487	24.859	fast
942fdd53-fa4a-47b7-bc59-d6bf3441a9ed	24.992	fast
c7ba0083-788d-437c-a533-d278223f47da	21.478	fast
347e9cf1-0ec4-466c-87f5-7b1a15462e20	24.539	fast
77010f13-f486-4f2e-89b3-e069ac57ee12	23.656	fast
128cd468-caac-47e8-9058-c5df8851b9cb	23.383	fast
7cf4d1a5-abec-49b6-9d43-7c36cbbee8c7	26.001	fast
820890ce-93c0-444b-b476-fa6b67469734	12.303	fast
ad4083b6-8789-4cdc-8753-aebf6d86a39a	7.127	hac
2579700e-805e-407a-9c2d-6ada7456cc14	17.181	fast
9bf42d68-36a1-4625-97ec-798480d12bd8	16.192	fast
400fa89b-fb87-4ffd-8307-c7432b3e3335	6.709	hac
b45f27e8-67f3-410c-8a89-ae3d0c64b3dd	19.435	fast
27743612-f1e3-43c6-9cdf-5d4b46edab2b	23.992	fast
e1d5a4b3-b556-41b7-88e0-d2a1590b71bc	19.796	fast
10d73562-db24-4028-86b1-63d6f36188ca	24.968	fast
89b5fee1-17b8-49a5-a07c-31f87bd00420	19.532	fast
392c6493-b70c-40cf-9528-ffd1b259a4db	8.593	hac
b0541107-e958-48a4-b621-bbde03bdded8	25.677	fast
9560a65a-ec81-43df-a223-65a39b258e8a	23.931	fast
5d6fb152-d51c-4684-88cf-0325def408ff	24.339	fast
90919aa9-1afb-4fd8-8a82-99016adc6403	21.149	fast
5dff0be4-4ad8-4d5f-ba7b-c15811c5fd13	13.575	fast
496c4ffc-40e7-4f81-91c4-f2c57008ceae	21.499	fast
03a031ce-12b2-434f-ac08-c90ae1410e89	20.444	fast
ca812a47-4bde-4afc-a870-df70214d6b67	21.956	fast
a325bed3-e36d-4984-8bbe-77b58ae19048	25.954	fast
b89ef293-5e87-46f7-86f9-46eb560d7586	21.931	fast
28d97773-5d06-420e-b955-aec5f9748602	14.787	fast
4c41e96b-7bc4-4c28-aa69-ed205a01a7e3	25.330	fast
