08-11-2026 17:35:11 RAM 5335/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@729,3%@729,2%@729,2%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@59.125C soc2@58.25C soc0@59.031C gpu@60.437C tj@60.437C soc1@58.062C VDD_IN 17526mW/16474mW VDD_CPU_GPU_CV 8407mW/7755mW VDD_SOC 3968mW/3752mW
08-11-2026 17:35:12 RAM 5336/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [12%@729,11%@729,7%@729,6%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@59.281C soc2@58.312C soc0@58.968C gpu@60.437C tj@60.437C soc1@58.187C VDD_IN 17526mW/16503mW VDD_CPU_GPU_CV 8368mW/7771mW VDD_SOC 3968mW/3758mW
08-11-2026 17:35:13 RAM 5336/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@729,2%@729,2%@729,3%@729,93%@1344,0%@1344] GR3D_FREQ 97% cpu@59.5C soc2@58.437C soc0@59.093C gpu@60.531C tj@60.531C soc1@58.343C VDD_IN 17486mW/16529mW VDD_CPU_GPU_CV 8250mW/7784mW VDD_SOC 4047mW/3765mW
08-11-2026 17:35:14 RAM 5337/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@729,3%@729,3%@729,2%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@59.375C soc2@58.5C soc0@59.281C gpu@60.656C tj@60.656C soc1@58.375C VDD_IN 17475mW/16553mW VDD_CPU_GPU_CV 8055mW/7791mW VDD_SOC 4086mW/3774mW
08-11-2026 17:35:15 RAM 5337/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [62%@1344,3%@1344,1%@1344,1%@1344,31%@729,0%@729] GR3D_FREQ 97% cpu@59.687C soc2@58.687C soc0@59.343C gpu@60.656C tj@60.656C soc1@58.312C VDD_IN 17475mW/16576mW VDD_CPU_GPU_CV 7977mW/7796mW VDD_SOC 4126mW/3782mW
08-11-2026 17:35:16 RAM 5337/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [92%@1344,2%@1344,2%@1344,3%@1344,1%@729,0%@729] GR3D_FREQ 98% cpu@59.5C soc2@58.75C soc0@59.406C gpu@60.656C tj@60.656C soc1@58.406C VDD_IN 17436mW/16597mW VDD_CPU_GPU_CV 7794mW/7795mW VDD_SOC 4204mW/3793mW
08-11-2026 17:35:17 RAM 5338/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [42%@729,7%@729,16%@729,7%@729,54%@1344,2%@1344] GR3D_FREQ 99% cpu@59.968C soc2@58.75C soc0@59.437C gpu@60.375C tj@60.375C soc1@58.5C VDD_IN 17368mW/16615mW VDD_CPU_GPU_CV 7977mW/7800mW VDD_SOC 4126mW/3801mW
08-11-2026 17:35:18 RAM 5339/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [1%@729,1%@729,2%@729,3%@729,92%@1344,0%@1344] GR3D_FREQ 99% cpu@59.937C soc2@58.781C soc0@59.468C gpu@61.093C tj@61.093C soc1@58.625C VDD_IN 17329mW/16632mW VDD_CPU_GPU_CV 8368mW/7813mW VDD_SOC 3929mW/3804mW
08-11-2026 17:35:19 RAM 5339/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@729,2%@729,1%@729,3%@729,92%@1344,0%@1344] GR3D_FREQ 99% cpu@59.687C soc2@58.875C soc0@59.625C gpu@61.312C tj@61.312C soc1@58.781C VDD_IN 17408mW/16650mW VDD_CPU_GPU_CV 8407mW/7827mW VDD_SOC 3968mW/3807mW
08-11-2026 17:35:20 RAM 5339/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@729,2%@729,5%@729,3%@729,92%@729,0%@729] GR3D_FREQ 99% cpu@60C soc2@59.031C soc0@59.718C gpu@61.5C tj@61.5C soc1@58.656C VDD_IN 17801mW/16675mW VDD_CPU_GPU_CV 8759mW/7847mW VDD_SOC 4001mW/3812mW
08-11-2026 17:35:21 RAM 5340/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [1%@729,1%@729,1%@729,4%@729,90%@729,0%@729] GR3D_FREQ 99% cpu@59.781C soc2@58.906C soc0@59.875C gpu@61.5C tj@61.25C soc1@58.718C VDD_IN 17042mW/16683mW VDD_CPU_GPU_CV 8303mW/7857mW VDD_SOC 3811mW/3812mW
